Year,Units,Пол,Value
2015,"на 1,000 живорожденных",,8.8
2016,"на 1,000 живорожденных",,8.6
2017,"на 1,000 живорожденных",,8.2
2018,"на 1,000 живорожденных",,7.1
2019,"на 1,000 живорожденных",,6.1
2020,"на 1,000 живорожденных",,7.4
2021,"на 1,000 живорожденных",,6.9
2015,"на 1,000 живорожденных",мальчик,9.4
2016,"на 1,000 живорожденных",мальчик,9.9
2017,"на 1,000 живорожденных",мальчик,8.8
2018,"на 1,000 живорожденных",мальчик,7.4
2019,"на 1,000 живорожденных",мальчик,6.8
2020,"на 1,000 живорожденных",мальчик,8.2
2021,"на 1,000 живорожденных",мальчик,7.8
2015,"на 1,000 живорожденных",девочка,8.2
2016,"на 1,000 живорожденных",девочка,7.3
2017,"на 1,000 живорожденных",девочка,7.6
2018,"на 1,000 живорожденных",девочка,6.8
2019,"на 1,000 живорожденных",девочка,5.3
2020,"на 1,000 живорожденных",девочка,6.4
2021,"на 1,000 живорожденных",девочка,5.9
