Year,Series,Units,Value
2010,All area,mgr/m^3,52.917
2011,All area,mgr/m^3,56.662
2012,All area,mgr/m^3,52.872
2013,All area,mgr/m^3,47.439
2014,All area,mgr/m^3,42.963
2015,All area,mgr/m^3,47.511
2016,All area,mgr/m^3,41.97
2017,All area,mgr/m^3,39.128
2018,All area,mgr/m^3,38.466
2019,All area,mgr/m^3,40.66
2020,All area,mgr/m^3,35.253
2021,All area,mgr/m^3,37.388
2022,All area,mgr/m^3,34.045
2023,All area,mgr/m^3,30.108
2010,City,mgr/m^3,60.099
2011,City,mgr/m^3,64.869
2012,City,mgr/m^3,60.722
2013,City,mgr/m^3,54.279
2014,City,mgr/m^3,49.207
2015,City,mgr/m^3,54.62
2016,City,mgr/m^3,47.845
2017,City,mgr/m^3,45.017
2018,City,mgr/m^3,44.307
2019,City,mgr/m^3,46.7
2020,City,mgr/m^3,40.957
2021,City,mgr/m^3,42.816
2022,City,mgr/m^3,39.399
2023,City,mgr/m^3,34.882
2010,rural,mgr/m^3,35.842
2011,rural,mgr/m^3,38.565
2012,rural,mgr/m^3,35.92
2013,rural,mgr/m^3,32.191
2014,rural,mgr/m^3,29.167
2015,rural,mgr/m^3,32.324
2016,rural,mgr/m^3,28.575
2017,rural,mgr/m^3,26.728
2018,rural,mgr/m^3,26.206
2019,rural,mgr/m^3,27.925
2020,rural,mgr/m^3,24.179
2021,rural,mgr/m^3,25.602
2022,rural,mgr/m^3,23.45
2023,rural,mgr/m^3,20.842
2010,Town and semi-dense area,mgr/m^3,48.344
2011,Town and semi-dense area,mgr/m^3,51.621
2012,Town and semi-dense area,mgr/m^3,48.41
2013,Town and semi-dense area,mgr/m^3,43.399
2014,Town and semi-dense area,mgr/m^3,39.414
2015,Town and semi-dense area,mgr/m^3,43.547
2016,Town and semi-dense area,mgr/m^3,38.626
2017,Town and semi-dense area,mgr/m^3,36.234
2018,Town and semi-dense area,mgr/m^3,35.421
2019,Town and semi-dense area,mgr/m^3,37.785
2020,Town and semi-dense area,mgr/m^3,32.739
2021,Town and semi-dense area,mgr/m^3,34.722
2022,Town and semi-dense area,mgr/m^3,31.62
2023,Town and semi-dense area,mgr/m^3,28.117
2010,urban,mgr/m^3,55.163
2011,urban,mgr/m^3,59.205
2012,urban,mgr/m^3,55.482
2013,urban,mgr/m^3,49.482
2014,urban,mgr/m^3,44.765
2015,urban,mgr/m^3,49.419
2016,urban,mgr/m^3,43.599
2017,urban,mgr/m^3,41.063
2018,urban,mgr/m^3,40.152
2019,urban,mgr/m^3,42.462
2020,urban,mgr/m^3,36.771
2021,urban,mgr/m^3,39.064
2022,urban,mgr/m^3,35.483
2023,urban,mgr/m^3,31.531
