"Year","Units","Disaster type","Value"
"2015","per 100,000 population","","445.4"
"2016","per 100,000 population","","506.6"
"2017","per 100,000 population","","444.1"
"2018","per 100,000 population","","436.4"
"2019","per 100,000 population","","608.9"
"2020","per 100,000 population","","5930.6"
"2015","per 100,000 population","natural hazards","43.5"
"2016","per 100,000 population","natural hazards","177.1"
"2017","per 100,000 population","natural hazards","67.0"
"2018","per 100,000 population","natural hazards","3.7"
"2019","per 100,000 population","natural hazards","91.5"
"2020","per 100,000 population","natural hazards","65.4"
"2015","per 100,000 population","man-made emergency events","172.9"
"2016","per 100,000 population","man-made emergency events","168.6"
"2017","per 100,000 population","man-made emergency events","190.8"
"2018","per 100,000 population","man-made emergency events","239.5"
"2019","per 100,000 population","man-made emergency events","272.1"
"2020","per 100,000 population","man-made emergency events","227.8"
"2015","per 100,000 population","social-biological emergency events","229.0"
"2016","per 100,000 population","social-biological emergency events","160.9"
"2017","per 100,000 population","social-biological emergency events","186.3"
"2018","per 100,000 population","social-biological emergency events","193.3"
"2019","per 100,000 population","social-biological emergency events","245.3"
"2020","per 100,000 population","social-biological emergency events","5643.4"
"2021","per 100,000 population","","6678.2"
"2021","per 100,000 population","natural hazards","35.2"
"2021","per 100,000 population","man-made emergency events","260.3"
"2021","per 100,000 population","social-biological emergency events","6382.7"
"2022","per 100,000 population","","4135.3"
"2022","per 100,000 population","natural hazards","114.4"
"2022","per 100,000 population","man-made emergency events","249.5"
"2022","per 100,000 population","social-biological emergency events","3771.4"
"2023","per 100,000 population","","740.4"
"2023","per 100,000 population","natural hazards","173.9"
"2023","per 100,000 population","man-made emergency events","256.3"
"2023","per 100,000 population","social-biological emergency events","310.3"
"2024","per 100,000 population","","653.8"
"2024","per 100,000 population","natural hazards","224.2"
"2024","per 100,000 population","man-made emergency events","234.6"
"2024","per 100,000 population","social-biological emergency events","195.0"
